sensor_id,city,zone,pm25,pm10,co2,temperature,humidity,wind_speed,aqi,severity,recorded_at
PKS_MUL_TRF_01,Multan,Traffic,64,95,679,33,37,48,64,MODERATE,2026-07-12 01:10:49.664576
PKS_MUL_PRK_02,Multan,Park,18,89,418,25,84,5,18,GOOD,2026-07-12 01:10:49.666681
PKS_KHI_IND_01,Karachi,Industrial,115,117,666,32,63,17,115,UNHEALTHY,2026-07-12 01:10:59.668887
PKS_KHI_TRF_02,Karachi,Traffic,61,125,505,35,28,22,61,MODERATE,2026-07-12 01:10:59.674200
PKS_LHR_RES_01,Lahore,Residential,44,129,438,27,55,34,44,GOOD,2026-07-12 01:10:59.687672
PKS_LHR_IND_02,Lahore,Industrial,110,149,678,35,61,35,110,UNHEALTHY,2026-07-12 01:10:59.695072
PKS_ISB_PRK_01,Islamabad,Park,17,31,414,27,50,39,17,GOOD,2026-07-12 01:10:59.701828
PKS_ISB_TRF_02,Islamabad,Traffic,72,72,537,36,39,44,72,MODERATE,2026-07-12 01:10:59.702969
PKS_PEW_IND_01,Peshawar,Industrial,104,111,619,33,63,20,104,UNHEALTHY,2026-07-12 01:10:59.704009
PKS_PEW_RES_02,Peshawar,Residential,30,122,474,36,78,38,30,GOOD,2026-07-12 01:10:59.705041
PKS_MUL_TRF_01,Multan,Traffic,59,82,534,37,40,6,59,MODERATE,2026-07-12 01:10:59.706187
PKS_MUL_PRK_02,Multan,Park,10,75,402,28,54,1,10,GOOD,2026-07-12 01:10:59.707369
PKS_KHI_IND_01,Karachi,Industrial,118,123,768,30,29,0,118,UNHEALTHY,2026-07-12 01:11:09.710931
PKS_KHI_TRF_02,Karachi,Traffic,70,145,645,32,33,48,70,MODERATE,2026-07-12 01:11:09.714694
PKS_LHR_RES_01,Lahore,Residential,27,86,450,25,32,43,27,GOOD,2026-07-12 01:11:09.720526
PKS_LHR_IND_02,Lahore,Industrial,101,153,621,35,38,44,101,UNHEALTHY,2026-07-12 01:11:09.741171
PKS_ISB_PRK_01,Islamabad,Park,16,95,417,23,31,14,16,GOOD,2026-07-12 01:11:09.747736
PKS_ISB_TRF_02,Islamabad,Traffic,63,114,640,33,54,30,63,MODERATE,2026-07-12 01:11:09.749395
PKS_PEW_IND_01,Peshawar,Industrial,82,172,841,31,50,17,82,MODERATE,2026-07-12 01:11:09.750490
PKS_PEW_RES_02,Peshawar,Residential,25,105,438,27,26,24,25,GOOD,2026-07-12 01:11:09.751802
PKS_MUL_TRF_01,Multan,Traffic,67,94,674,31,69,51,67,MODERATE,2026-07-12 01:11:09.752879
PKS_MUL_PRK_02,Multan,Park,13,34,402,33,71,53,13,GOOD,2026-07-12 01:11:09.754302
PKS_KHI_IND_01,Karachi,Industrial,119,138,721,32,38,13,119,UNHEALTHY,2026-07-12 01:11:19.759266
PKS_KHI_TRF_02,Karachi,Traffic,75,86,551,34,44,21,75,MODERATE,2026-07-12 01:11:19.762669
PKS_LHR_RES_01,Lahore,Residential,38,53,441,35,64,29,38,GOOD,2026-07-12 01:11:19.767934
PKS_LHR_IND_02,Lahore,Industrial,81,97,694,38,40,3,81,MODERATE,2026-07-12 01:11:19.786252
PKS_ISB_PRK_01,Islamabad,Park,20,114,404,28,89,42,20,GOOD,2026-07-12 01:11:19.800797
PKS_ISB_TRF_02,Islamabad,Traffic,73,91,629,33,27,8,73,MODERATE,2026-07-12 01:11:19.803222
PKS_PEW_IND_01,Peshawar,Industrial,93,93,689,37,77,58,93,MODERATE,2026-07-12 01:11:19.804837
PKS_PEW_RES_02,Peshawar,Residential,47,131,423,28,64,49,47,GOOD,2026-07-12 01:11:19.806545
PKS_MUL_TRF_01,Multan,Traffic,80,86,609,37,25,23,80,MODERATE,2026-07-12 01:11:19.807554
PKS_MUL_PRK_02,Multan,Park,17,52,403,35,63,27,17,GOOD,2026-07-12 01:11:19.808548
PKS_KHI_IND_01,Karachi,Industrial,108,110,831,39,31,43,108,UNHEALTHY,2026-07-12 01:11:29.810370
PKS_KHI_TRF_02,Karachi,Traffic,61,99,526,37,90,33,61,MODERATE,2026-07-12 01:11:29.812521
PKS_LHR_RES_01,Lahore,Residential,29,91,469,25,73,2,29,GOOD,2026-07-12 01:11:29.814556
PKS_LHR_IND_02,Lahore,Industrial,107,205,862,42,83,27,107,UNHEALTHY,2026-07-12 01:11:29.817487
PKS_ISB_PRK_01,Islamabad,Park,18,43,404,26,40,31,18,GOOD,2026-07-12 01:11:29.819604
PKS_ISB_TRF_02,Islamabad,Traffic,77,108,678,39,66,43,77,MODERATE,2026-07-12 01:11:29.822401
PKS_PEW_IND_01,Peshawar,Industrial,106,193,896,38,45,23,106,UNHEALTHY,2026-07-12 01:11:29.828575
PKS_PEW_RES_02,Peshawar,Residential,46,135,439,36,52,60,46,GOOD,2026-07-12 01:11:29.830921
PKS_MUL_TRF_01,Multan,Traffic,74,157,673,32,90,59,74,MODERATE,2026-07-12 01:11:29.834563
PKS_MUL_PRK_02,Multan,Park,10,64,404,35,30,22,10,GOOD,2026-07-12 01:11:29.837292
PKS_KHI_IND_01,Karachi,Industrial,88,167,705,33,24,54,88,MODERATE,2026-07-12 01:11:39.845011
PKS_KHI_TRF_02,Karachi,Traffic,73,130,694,33,78,52,73,MODERATE,2026-07-12 01:11:39.850473
PKS_LHR_RES_01,Lahore,Residential,29,86,426,37,78,17,29,GOOD,2026-07-12 01:11:39.854765
PKS_LHR_IND_02,Lahore,Industrial,108,149,654,40,29,46,108,UNHEALTHY,2026-07-12 01:11:39.866410
PKS_ISB_PRK_01,Islamabad,Park,13,39,413,26,43,58,13,GOOD,2026-07-12 01:11:39.874240
PKS_ISB_TRF_02,Islamabad,Traffic,72,126,586,36,55,59,72,MODERATE,2026-07-12 01:11:39.876391
PKS_PEW_IND_01,Peshawar,Industrial,119,180,647,37,86,3,119,UNHEALTHY,2026-07-12 01:11:39.879400
PKS_PEW_RES_02,Peshawar,Residential,43,140,427,25,48,0,43,GOOD,2026-07-12 01:11:39.883075
PKS_MUL_TRF_01,Multan,Traffic,66,140,615,28,55,12,66,MODERATE,2026-07-12 01:11:39.886938
PKS_MUL_PRK_02,Multan,Park,11,46,410,30,34,48,11,GOOD,2026-07-12 01:11:39.890433
PKS_KHI_IND_01,Karachi,Industrial,105,169,797,41,29,42,105,UNHEALTHY,2026-07-12 01:11:49.894037
PKS_KHI_TRF_02,Karachi,Traffic,66,68,566,36,55,34,66,MODERATE,2026-07-12 01:11:49.897532
PKS_LHR_RES_01,Lahore,Residential,26,104,423,28,89,45,26,GOOD,2026-07-12 01:11:49.903064
PKS_LHR_IND_02,Lahore,Industrial,102,128,648,33,84,27,102,UNHEALTHY,2026-07-12 01:11:49.918573
PKS_ISB_PRK_01,Islamabad,Park,9,30,407,35,55,14,9,GOOD,2026-07-12 01:11:49.920214
PKS_ISB_TRF_02,Islamabad,Traffic,64,147,569,37,59,25,64,MODERATE,2026-07-12 01:11:49.921195
PKS_PEW_IND_01,Peshawar,Industrial,100,154,895,39,58,11,100,MODERATE,2026-07-12 01:11:49.925093
PKS_PEW_RES_02,Peshawar,Residential,36,60,470,27,22,45,36,GOOD,2026-07-12 01:11:49.926137
PKS_MUL_TRF_01,Multan,Traffic,59,92,611,30,37,23,59,MODERATE,2026-07-12 01:11:49.927180
PKS_MUL_PRK_02,Multan,Park,9,88,418,31,85,56,9,GOOD,2026-07-12 01:11:49.928198
PKS_KHI_IND_01,Karachi,Industrial,118,166,642,40,27,56,118,UNHEALTHY,2026-07-12 01:11:59.930574
PKS_KHI_TRF_02,Karachi,Traffic,55,84,558,29,30,49,55,MODERATE,2026-07-12 01:11:59.933959
PKS_LHR_RES_01,Lahore,Residential,38,48,457,27,48,8,38,GOOD,2026-07-12 01:11:59.939199
PKS_LHR_IND_02,Lahore,Industrial,118,205,758,32,41,49,118,UNHEALTHY,2026-07-12 01:11:59.948215
PKS_ISB_PRK_01,Islamabad,Park,14,45,426,35,35,48,14,GOOD,2026-07-12 01:11:59.957519
PKS_ISB_TRF_02,Islamabad,Traffic,79,104,680,32,44,32,79,MODERATE,2026-07-12 01:11:59.959079
PKS_PEW_IND_01,Peshawar,Industrial,113,193,658,39,62,21,113,UNHEALTHY,2026-07-12 01:11:59.960835
PKS_PEW_RES_02,Peshawar,Residential,26,74,500,35,50,24,26,GOOD,2026-07-12 01:11:59.962670
PKS_MUL_TRF_01,Multan,Traffic,71,148,583,36,78,49,71,MODERATE,2026-07-12 01:11:59.965331
PKS_MUL_PRK_02,Multan,Park,20,116,424,26,76,17,20,GOOD,2026-07-12 01:11:59.969995
PKS_KHI_IND_01,Karachi,Industrial,86,146,639,32,41,54,86,MODERATE,2026-07-13 04:09:01.457643
PKS_KHI_TRF_02,Karachi,Traffic,71,146,548,40,20,57,71,MODERATE,2026-07-13 04:09:01.460992
PKS_LHR_RES_01,Lahore,Residential,45,63,442,28,48,37,45,GOOD,2026-07-13 04:09:01.463748
PKS_LHR_IND_02,Lahore,Industrial,80,88,857,40,33,34,80,MODERATE,2026-07-13 04:09:01.465085
PKS_ISB_PRK_01,Islamabad,Park,19,84,430,24,49,45,19,GOOD,2026-07-13 04:09:01.466088
PKS_ISB_TRF_02,Islamabad,Traffic,66,154,578,37,36,34,66,MODERATE,2026-07-13 04:09:01.467086
PKS_PEW_IND_01,Peshawar,Industrial,84,174,757,30,32,38,84,MODERATE,2026-07-13 04:09:01.468165
PKS_PEW_RES_02,Peshawar,Residential,28,88,431,38,68,46,28,GOOD,2026-07-13 04:09:01.469288
PKS_MUL_TRF_01,Multan,Traffic,55,108,559,30,48,49,55,MODERATE,2026-07-13 04:09:01.470372
PKS_MUL_PRK_02,Multan,Park,11,96,414,28,48,13,11,GOOD,2026-07-13 04:09:01.471460
PKS_KHI_IND_01,Karachi,Industrial,102,168,617,42,38,43,102,UNHEALTHY,2026-07-13 04:09:11.607733
PKS_KHI_TRF_02,Karachi,Traffic,75,98,522,35,34,34,75,MODERATE,2026-07-13 04:09:11.611209
PKS_LHR_RES_01,Lahore,Residential,38,106,442,27,41,33,38,GOOD,2026-07-13 04:09:11.616452
PKS_LHR_IND_02,Lahore,Industrial,113,136,677,36,40,47,113,UNHEALTHY,2026-07-13 04:09:11.625876
PKS_ISB_PRK_01,Islamabad,Park,12,67,410,31,64,52,12,GOOD,2026-07-13 04:09:11.627457
PKS_ISB_TRF_02,Islamabad,Traffic,78,156,640,28,83,24,78,MODERATE,2026-07-13 04:09:11.628862
PKS_PEW_IND_01,Peshawar,Industrial,112,161,892,36,23,50,112,UNHEALTHY,2026-07-13 04:09:11.632909
PKS_PEW_RES_02,Peshawar,Residential,43,100,487,33,22,26,43,GOOD,2026-07-13 04:09:11.634300
PKS_MUL_TRF_01,Multan,Traffic,70,90,576,36,22,9,70,MODERATE,2026-07-13 04:09:11.636096
PKS_MUL_PRK_02,Multan,Park,10,72,419,28,20,50,10,GOOD,2026-07-13 04:09:11.638881
PKS_KHI_IND_01,Karachi,Industrial,81,153,819,40,23,28,81,MODERATE,2026-07-13 04:09:21.740420
PKS_KHI_TRF_02,Karachi,Traffic,80,89,563,38,33,47,80,MODERATE,2026-07-13 04:09:21.743948
PKS_LHR_RES_01,Lahore,Residential,28,121,499,34,88,15,28,GOOD,2026-07-13 04:09:21.751790
PKS_LHR_IND_02,Lahore,Industrial,84,144,603,42,79,52,84,MODERATE,2026-07-13 04:09:21.758800
PKS_ISB_PRK_01,Islamabad,Park,18,113,404,28,72,43,18,GOOD,2026-07-13 04:09:21.763593
PKS_ISB_TRF_02,Islamabad,Traffic,67,142,599,29,31,42,67,MODERATE,2026-07-13 04:09:21.765065
PKS_PEW_IND_01,Peshawar,Industrial,109,184,695,41,59,4,109,UNHEALTHY,2026-07-13 04:09:21.768834
PKS_PEW_RES_02,Peshawar,Residential,48,48,486,37,70,1,48,GOOD,2026-07-13 04:09:21.771600
PKS_MUL_TRF_01,Multan,Traffic,58,149,515,31,88,15,58,MODERATE,2026-07-13 04:09:21.772798
PKS_MUL_PRK_02,Multan,Park,17,20,411,31,43,7,17,GOOD,2026-07-13 04:09:21.774447
PKS_KHI_IND_01,Karachi,Industrial,103,143,730,33,70,35,103,UNHEALTHY,2026-07-13 04:09:31.886257
PKS_KHI_TRF_02,Karachi,Traffic,77,78,637,32,24,37,77,MODERATE,2026-07-13 04:09:31.894640
PKS_LHR_RES_01,Lahore,Residential,30,30,482,29,49,28,30,GOOD,2026-07-13 04:09:31.900500
PKS_LHR_IND_02,Lahore,Industrial,102,152,729,36,52,0,102,UNHEALTHY,2026-07-13 04:09:31.906327
PKS_ISB_PRK_01,Islamabad,Park,8,15,426,35,33,13,8,GOOD,2026-07-13 04:09:31.910291
PKS_ISB_TRF_02,Islamabad,Traffic,68,142,555,32,28,46,68,MODERATE,2026-07-13 04:09:31.917106
PKS_PEW_IND_01,Peshawar,Industrial,100,103,750,37,49,15,100,MODERATE,2026-07-13 04:09:31.920792
PKS_PEW_RES_02,Peshawar,Residential,47,62,420,26,29,11,47,GOOD,2026-07-13 04:09:31.933364
PKS_MUL_TRF_01,Multan,Traffic,80,156,572,30,58,52,80,MODERATE,2026-07-13 04:09:31.935328
PKS_MUL_PRK_02,Multan,Park,16,115,406,29,38,15,16,GOOD,2026-07-13 04:09:31.937224
PKS_KHI_IND_01,Karachi,Industrial,106,150,638,39,49,33,106,UNHEALTHY,2026-07-13 04:09:42.066341
PKS_KHI_TRF_02,Karachi,Traffic,60,132,612,37,34,2,60,MODERATE,2026-07-13 04:09:42.074916
PKS_LHR_RES_01,Lahore,Residential,40,46,477,38,81,34,40,GOOD,2026-07-13 04:09:42.086476
PKS_LHR_IND_02,Lahore,Industrial,108,173,820,31,25,37,108,UNHEALTHY,2026-07-13 04:09:42.108928
PKS_ISB_PRK_01,Islamabad,Park,13,98,414,30,31,34,13,GOOD,2026-07-13 04:09:42.123197
PKS_ISB_TRF_02,Islamabad,Traffic,66,124,534,30,41,25,66,MODERATE,2026-07-13 04:09:42.124521
PKS_PEW_IND_01,Peshawar,Industrial,106,176,864,40,77,34,106,UNHEALTHY,2026-07-13 04:09:42.128301
PKS_PEW_RES_02,Peshawar,Residential,43,49,457,31,69,38,43,GOOD,2026-07-13 04:09:42.136265
PKS_MUL_TRF_01,Multan,Traffic,79,98,618,33,64,33,79,MODERATE,2026-07-13 04:09:42.138046
PKS_MUL_PRK_02,Multan,Park,11,102,408,23,43,9,11,GOOD,2026-07-13 04:09:42.139356
PKS_KHI_IND_01,Karachi,Industrial,120,198,891,32,88,31,120,UNHEALTHY,2026-07-13 04:15:13.411374
PKS_KHI_TRF_02,Karachi,Traffic,67,72,501,28,35,8,67,MODERATE,2026-07-13 04:15:13.414087
PKS_LHR_RES_01,Lahore,Residential,36,53,485,27,37,24,36,GOOD,2026-07-13 04:15:13.422299
PKS_LHR_IND_02,Lahore,Industrial,94,191,767,33,77,33,94,MODERATE,2026-07-13 04:15:13.431264
PKS_ISB_PRK_01,Islamabad,Park,17,20,404,25,90,11,17,GOOD,2026-07-13 04:15:13.435708
PKS_ISB_TRF_02,Islamabad,Traffic,67,148,513,30,49,51,67,MODERATE,2026-07-13 04:15:13.439068
PKS_PEW_IND_01,Peshawar,Industrial,100,128,622,38,81,20,100,MODERATE,2026-07-13 04:15:13.448248
PKS_PEW_RES_02,Peshawar,Residential,41,116,459,27,68,33,41,GOOD,2026-07-13 04:15:13.452923
PKS_MUL_TRF_01,Multan,Traffic,65,116,682,31,39,0,65,MODERATE,2026-07-13 04:15:13.454862
PKS_MUL_PRK_02,Multan,Park,15,22,415,34,46,45,15,GOOD,2026-07-13 04:15:13.458201
PKS_KHI_IND_01,Karachi,Industrial,120,185,645,40,44,10,120,UNHEALTHY,2026-07-13 04:15:30.278945
PKS_KHI_TRF_02,Karachi,Traffic,56,109,642,35,70,43,56,MODERATE,2026-07-13 04:15:30.282468
PKS_LHR_RES_01,Lahore,Residential,42,42,466,32,85,14,42,GOOD,2026-07-13 04:15:30.287749
PKS_LHR_IND_02,Lahore,Industrial,105,181,661,35,87,50,105,UNHEALTHY,2026-07-13 04:15:30.295533
PKS_ISB_PRK_01,Islamabad,Park,9,95,429,27,41,12,9,GOOD,2026-07-13 04:15:30.298923
PKS_ISB_TRF_02,Islamabad,Traffic,61,101,539,32,54,3,61,MODERATE,2026-07-13 04:15:30.301729
PKS_PEW_IND_01,Peshawar,Industrial,101,199,707,38,53,54,101,UNHEALTHY,2026-07-13 04:15:30.303702
PKS_PEW_RES_02,Peshawar,Residential,42,77,461,25,40,58,42,GOOD,2026-07-13 04:15:30.305195
PKS_MUL_TRF_01,Multan,Traffic,61,87,625,37,82,43,61,MODERATE,2026-07-13 04:15:30.306253
PKS_MUL_PRK_02,Multan,Park,20,41,426,32,24,27,20,GOOD,2026-07-13 04:15:30.307293
PKS_KHI_IND_01,Karachi,Industrial,94,174,795,35,80,15,94,MODERATE,2026-07-13 04:23:10.777342
PKS_KHI_TRF_02,Karachi,Traffic,72,101,686,35,22,19,72,MODERATE,2026-07-13 04:23:10.778523
PKS_LHR_RES_01,Lahore,Residential,32,109,454,32,81,46,32,GOOD,2026-07-13 04:23:10.779577
PKS_LHR_IND_02,Lahore,Industrial,84,177,732,40,68,12,84,MODERATE,2026-07-13 04:23:10.780742
PKS_ISB_PRK_01,Islamabad,Park,15,37,425,32,43,47,15,GOOD,2026-07-13 04:23:10.781795
PKS_ISB_TRF_02,Islamabad,Traffic,72,149,649,39,70,22,72,MODERATE,2026-07-13 04:23:10.783197
PKS_PEW_IND_01,Peshawar,Industrial,102,173,712,41,21,11,102,UNHEALTHY,2026-07-13 04:23:10.786114
PKS_PEW_RES_02,Peshawar,Residential,26,87,489,30,40,56,26,GOOD,2026-07-13 04:23:10.788105
PKS_MUL_TRF_01,Multan,Traffic,64,146,595,32,57,9,64,MODERATE,2026-07-13 04:23:10.789945
PKS_MUL_PRK_02,Multan,Park,13,30,415,25,27,13,13,GOOD,2026-07-13 04:23:10.791014
PKS_KHI_IND_01,Karachi,Industrial,113,162,697,33,80,36,113,UNHEALTHY,2026-07-13 06:22:55.195971
PKS_KHI_TRF_02,Karachi,Traffic,69,97,693,29,45,40,69,MODERATE,2026-07-13 06:22:55.198252
PKS_LHR_RES_01,Lahore,Residential,32,36,500,26,71,34,32,GOOD,2026-07-13 06:22:55.199782
PKS_LHR_IND_02,Lahore,Industrial,99,152,734,30,29,26,99,MODERATE,2026-07-13 06:22:55.202174
PKS_ISB_PRK_01,Islamabad,Park,17,51,411,26,73,39,17,GOOD,2026-07-13 06:22:55.203638
PKS_ISB_TRF_02,Islamabad,Traffic,66,130,643,28,72,53,66,MODERATE,2026-07-13 06:22:55.205114
PKS_PEW_IND_01,Peshawar,Industrial,99,199,899,36,31,39,99,MODERATE,2026-07-13 06:22:55.206887
PKS_PEW_RES_02,Peshawar,Residential,30,34,421,28,37,57,30,GOOD,2026-07-13 06:22:55.209233
PKS_MUL_TRF_01,Multan,Traffic,71,158,516,35,22,34,71,MODERATE,2026-07-13 06:22:55.211047
PKS_MUL_PRK_02,Multan,Park,9,20,425,31,20,9,9,GOOD,2026-07-13 06:22:55.212558
PKS_KHI_IND_01,Karachi,Industrial,92,180,699,31,36,48,92,MODERATE,2026-07-13 06:23:18.214282
PKS_KHI_TRF_02,Karachi,Traffic,55,74,500,33,69,48,55,MODERATE,2026-07-13 06:23:18.216443
PKS_LHR_RES_01,Lahore,Residential,40,123,458,34,32,47,40,GOOD,2026-07-13 06:23:18.218839
PKS_LHR_IND_02,Lahore,Industrial,94,105,685,37,90,20,94,MODERATE,2026-07-13 06:23:18.223797
PKS_ISB_PRK_01,Islamabad,Park,10,108,413,31,59,20,10,GOOD,2026-07-13 06:23:18.231762
PKS_ISB_TRF_02,Islamabad,Traffic,77,154,586,33,62,26,77,MODERATE,2026-07-13 06:23:18.235256
PKS_PEW_IND_01,Peshawar,Industrial,102,109,676,35,90,9,102,UNHEALTHY,2026-07-13 06:23:18.238092
PKS_PEW_RES_02,Peshawar,Residential,50,86,498,33,61,32,50,GOOD,2026-07-13 06:23:18.240773
PKS_MUL_TRF_01,Multan,Traffic,60,143,580,29,48,27,60,MODERATE,2026-07-13 06:23:18.242975
PKS_MUL_PRK_02,Multan,Park,9,28,409,23,64,50,9,GOOD,2026-07-13 06:23:18.245394
PKS_KHI_IND_01,Karachi,Industrial,96,188,891,32,58,54,96,MODERATE,2026-07-13 06:26:21.925233
PKS_KHI_TRF_02,Karachi,Traffic,72,162,523,36,25,49,72,MODERATE,2026-07-13 06:26:21.926439
PKS_LHR_RES_01,Lahore,Residential,46,128,428,31,22,43,46,GOOD,2026-07-13 06:26:21.927518
PKS_LHR_IND_02,Lahore,Industrial,101,150,662,36,66,17,101,UNHEALTHY,2026-07-13 06:26:21.928564
PKS_ISB_PRK_01,Islamabad,Park,8,45,421,28,44,14,8,GOOD,2026-07-13 06:26:21.929618
PKS_ISB_TRF_02,Islamabad,Traffic,71,119,575,38,89,27,71,MODERATE,2026-07-13 06:26:21.930991
PKS_PEW_IND_01,Peshawar,Industrial,113,181,793,35,72,19,113,UNHEALTHY,2026-07-13 06:26:21.932772
PKS_PEW_RES_02,Peshawar,Residential,28,65,461,38,26,8,28,GOOD,2026-07-13 06:26:21.934148
PKS_MUL_TRF_01,Multan,Traffic,67,133,655,33,86,40,67,MODERATE,2026-07-13 06:26:21.935172
PKS_MUL_PRK_02,Multan,Park,8,13,410,33,31,58,8,GOOD,2026-07-13 06:26:21.936545
PKS_KHI_IND_01,Karachi,Industrial,115,212,870,36,24,15,115,UNHEALTHY,2026-07-13 06:26:57.713268
PKS_KHI_TRF_02,Karachi,Traffic,70,95,537,34,84,57,70,MODERATE,2026-07-13 06:26:57.715652
PKS_LHR_RES_01,Lahore,Residential,25,103,499,36,51,13,25,GOOD,2026-07-13 06:26:57.718127
PKS_LHR_IND_02,Lahore,Industrial,106,153,900,39,81,35,106,UNHEALTHY,2026-07-13 06:26:57.733588
