Location ID,Location Name,City,Country,Latitude,Longitude
4605120,Hayatabad phase 7,,PK,33.9687263,71.4147126
4607067,Shaheed Benazir Women University,,PK,34.0559766,71.5646276
4607068,NIUIP,,PK,33.9935232,71.4440704
4608419,IMSciences Institute Peshwar,,PK,33.9581864,71.3343512
4608421,"Assistant Commissioner Office, Allama Iqbal ",,PK,31.47188,74.239512
4608422,Park Road F-8/1 Sector Islamabad,,PK,33.7102628,73.0312832
4608423,WWF Office ,,PK,33.9905988,71.4996196
4609261,"Pajian, Raiwind",,PK,31.299695,74.22505
4609262,Directorate General Local Gov ,,PK,33.9916663,71.435054
4609307,Khyber Medical University ,,PK,33.989115,71.4359101
4609353,Kahna Hospital ,,PK,31.371023502439286,74.36487268127355
4609354,Ashrafia Colony,,PK,34.0268637,71.5772755
4614770,EPA Office,,PK,33.977293,71.5654702
4616262,District Health Authority,,PK,33.6333084,73.0488857
4618315,DC Office Murree,,PK,33.9065558,73.3980069
4618814,Gulberg III,,PK,31.508051,74.337544
4629400,"PHA, Sialkot",,PK,32.505567,74.536067
4629401,SCCI ,,PK,32.507924,74.537957
4630451,Dc Office Sialkot,,PK,32.505286,74.532952
4645154,Urban Policy Unit,,PK,33.9899378,71.4991258
4698865,Cantonment,,PK,31.539422,74.413792
4699919,Pak Arab,,PK,31.418387,74.345283
4700982,Samanabad,,PK,31.541983,74.298065
4708999,WWF,,PK,32.4598818,74.5130851
4710567,Regional Ombudsman Office,,PK,32.48209,74.52664
4712030,PSGMEA,,PK,32.487371,74.512444
4712608,"Craftive  Apparels, Defence Road",,PK,32.49447,74.498977
4721112,Agriculture  Office Emnabad Road,,PK,32.465555,74.523957
4721113,SWMC,,PK,32.516512,74.51071
4722655,Divisional Forest office Kotli Araian,,PK,32.59938,74.479594
4723667,Cheema Palace,,PK,32.54477,74.569535
4725232,AC  Sambrial,,PK,32.477858,74.337355
4755317,Walled cities Authority office ,,PK,30.19881,71.46818
4756280,University of Balochistan,,PK,30.162079,66.989772
4756281,"WASA office, Chungi #09",,PK,30.20645,71.47604
4757303,Industries and Commerce,,PK,30.17716,67.008202
4757304,Quetta Commissioner Office ,,PK,30.197606,67.0101348
4757305,Forman Christian College & Chartered University,,PK,31.521146,74.333954
4757794,"Multan Industrial EState, Board of Management",,PK,30.12721,71.38191
4758328,Multan Industrial Estate,,PK,30.12714,71.38146
4758816,BUITEMS,,PK,30.2713,66.9379
4759316,OSCD,,PK,30.202854,66.993317
4760841,Metropolitan corporation office ,,PK,30.17631,71.48861
4767238,Institute of Public Health,,PK,30.193314,66.955154
4767239,NFC IET Multan,,PK,30.22382,71.53613
4767718,A1 City Housing ,,PK,30.185308,66.97113
4769229,women university,,PK,30.2515,71.57288
4769230,Sheikh Khalifa Bin Zayyad hospital,,PK,30.082855,66.96167
4770826,Helping hand Balochestan,,PK,30.240204,67.019051
4770827,Muhammad Nawaz Sharif University of  Agriculture,,PK,30.1477,71.44326
4771376,EPA OFFICE,,PK,30.217964,66.977745
4771378,Cantt Public School & College,,PK,30.1827,71.43621
4771882,Dearchitecture House no C-36,,PK,30.208897,67.002403
4779254,District officer Industries / Registrar of Firms,,PK,30.207826,71.439894
4779736,"WASA office, Chungi #09",,PK,30.20654,71.4762
4780772,"UC office, khushal colony",,PK,30.20817,71.49625
4782810,"House#E/21 B,Khayaban Ali Housing scheme ",,PK,29.35128,71.69255
4790880,PHA Bahawalpur,,PK,29.38746,71.70984
4791416,Allama iqbal hospital,,PK,32.503689,74.547365
4791923,Commissioner Office,,PK,29.39228,71.69131
4791924,Urban Resource Center,,PK,24.868,67.081833
4792427,Grand Asian University,,PK,32.437542,74.577984
